Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Naive Bayes,0.5617,0.5942,0.4444,0.5911,0.5021,0.1235,0.1308,0.0067,4,none
K Neighbors Classifier,0.5802,0.5887,0.5679,0.6003,0.5634,0.1605,0.178,0.0067,4,none
Extra Trees Classifier,0.5988,0.5757,0.5802,0.6132,0.5815,0.1975,0.2074,0.0433,4,none
Logistic Regression,0.5741,0.562,0.5679,0.5768,0.5616,0.1481,0.1527,0.02,4,none
Random Forest Classifier,0.5864,0.5366,0.5802,0.585,0.5818,0.1728,0.1732,0.05,4,none
CatBoost Classifier,0.4877,0.4957,0.4691,0.4836,0.4735,-0.0247,-0.0258,1.1133,4,none
Extreme Gradient Boosting,0.4815,0.4888,0.5062,0.4824,0.4937,-0.037,-0.0371,0.0233,4,none
SVM - Linear Kernel,0.5062,0.4833,0.4815,0.51,0.4937,0.0123,0.0125,0.01,4,none
Quadratic Discriminant Analysis,0.4753,0.4326,0.7901,0.484,0.5878,-0.0494,-0.0932,0.0067,4,none
