Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
SVM - Linear Kernel,0.5741,0.61,0.5679,0.5834,0.5703,0.1481,0.1513,0.0067,1,standard
Naive Bayes,0.5494,0.5997,0.4568,0.5677,0.5041,0.0988,0.1026,0.0067,1,standard
Logistic Regression,0.5741,0.5926,0.5802,0.5875,0.5736,0.1481,0.1536,0.01,1,standard
K Neighbors Classifier,0.5802,0.5741,0.4815,0.6014,0.5343,0.1605,0.1642,0.0067,1,standard
Quadratic Discriminant Analysis,0.5432,0.5734,0.5062,0.5481,0.5257,0.0864,0.0871,0.0067,1,standard
Extra Trees Classifier,0.5802,0.5674,0.5926,0.5835,0.5843,0.1605,0.1628,0.0367,1,standard
Random Forest Classifier,0.537,0.5197,0.4691,0.543,0.4986,0.0741,0.0758,0.05,1,standard
CatBoost Classifier,0.4753,0.5034,0.4321,0.4704,0.4485,-0.0494,-0.0504,1.08,1,standard
Extreme Gradient Boosting,0.4383,0.4618,0.4074,0.4283,0.4158,-0.1235,-0.1253,0.0233,1,standard
