Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Naive Bayes,0.2593,0.4783,0.2593,0.2695,0.2503,0.0103,0.0124,0.01,3,standard
K Neighbors Classifier,0.2531,0.4745,0.2531,0.2397,0.2316,0.0044,0.0043,0.0133,3,standard
Extreme Gradient Boosting,0.2346,0.4704,0.2346,0.224,0.2269,-0.02,-0.02,0.0633,3,standard
CatBoost Classifier,0.2222,0.4653,0.2222,0.2322,0.2192,-0.0361,-0.0366,2.6767,3,standard
Random Forest Classifier,0.1852,0.4455,0.1852,0.1851,0.18,-0.0846,-0.0865,0.06,3,standard
Extra Trees Classifier,0.2037,0.4413,0.2037,0.2062,0.201,-0.0613,-0.0618,0.0533,3,standard
Logistic Regression,0.2654,0.0,0.2654,0.2689,0.257,0.0217,0.0221,0.0067,3,standard
SVM - Linear Kernel,0.2654,0.0,0.2654,0.26,0.2531,0.0221,0.0227,0.0133,3,standard
Quadratic Discriminant Analysis,0.3272,0.0,0.3272,0.2996,0.2947,0.1028,0.108,0.0067,3,standard
