Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Extra Trees Classifier,0.2469,0.4982,0.2469,0.2515,0.238,-0.0043,-0.0043,0.04,4,standard
Naive Bayes,0.2531,0.4789,0.2531,0.2639,0.2441,0.002,0.0034,0.0067,4,standard
Extreme Gradient Boosting,0.2654,0.4747,0.2654,0.2543,0.2578,0.0216,0.0218,0.2,4,standard
K Neighbors Classifier,0.2346,0.4747,0.2346,0.2284,0.2163,-0.0208,-0.0218,0.0133,4,standard
Random Forest Classifier,0.2346,0.4539,0.2346,0.226,0.2261,-0.0202,-0.0203,0.05,4,standard
CatBoost Classifier,0.2407,0.4519,0.2407,0.2354,0.2304,-0.0114,-0.012,2.7133,4,standard
Logistic Regression,0.2716,0.0,0.2716,0.2758,0.2655,0.03,0.0302,0.01,4,standard
SVM - Linear Kernel,0.2284,0.0,0.2284,0.2176,0.2159,-0.0284,-0.029,0.0133,4,standard
Quadratic Discriminant Analysis,0.2778,0.0,0.2778,0.2823,0.251,0.0367,0.0401,0.0067,4,standard
