Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Quadratic Discriminant Analysis,0.5123,0.5578,0.6914,0.4994,0.5495,0.0247,0.0439,0.0067,1,none
Random Forest Classifier,0.5309,0.519,0.5309,0.542,0.5303,0.0617,0.0626,0.0533,1,none
Extreme Gradient Boosting,0.4815,0.5057,0.4938,0.4879,0.4879,-0.037,-0.0372,0.0233,1,none
Extra Trees Classifier,0.5062,0.4991,0.4938,0.5087,0.4983,0.0123,0.0125,0.04,1,none
Logistic Regression,0.4938,0.4847,0.5309,0.4946,0.5114,-0.0123,-0.0125,0.02,1,none
SVM - Linear Kernel,0.4815,0.4733,0.1975,0.4545,0.255,-0.037,-0.046,0.0067,1,none
CatBoost Classifier,0.4938,0.4632,0.4198,0.5053,0.4479,-0.0123,-0.0089,1.06,1,none
K Neighbors Classifier,0.4938,0.4582,0.4444,0.4943,0.4654,-0.0123,-0.0124,0.0067,1,none
Naive Bayes,0.4938,0.3809,0.2469,0.486,0.324,-0.0123,-0.0149,0.0067,1,none
