Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.5247,0.5242,0.4938,0.5296,0.505,0.0494,0.051,0.05,3,none
Quadratic Discriminant Analysis,0.4753,0.5075,0.6914,0.4579,0.5255,-0.0494,-0.0371,0.0067,3,none
SVM - Linear Kernel,0.5123,0.4947,0.5556,0.5128,0.5328,0.0247,0.0247,0.0067,3,none
Extra Trees Classifier,0.5123,0.4874,0.5185,0.5184,0.5145,0.0247,0.0255,0.04,3,none
Extreme Gradient Boosting,0.4815,0.4865,0.5062,0.487,0.4914,-0.037,-0.0377,0.0233,3,none
K Neighbors Classifier,0.463,0.4801,0.3704,0.4577,0.4077,-0.0741,-0.075,0.0067,3,none
Logistic Regression,0.4815,0.4728,0.5556,0.4848,0.517,-0.037,-0.038,0.0333,3,none
CatBoost Classifier,0.463,0.4536,0.3951,0.4544,0.417,-0.0741,-0.0765,1.03,3,none
Naive Bayes,0.4938,0.3809,0.2469,0.486,0.324,-0.0123,-0.0149,0.0067,3,none
