Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.5185,0.5229,0.4691,0.5254,0.4918,0.037,0.0388,0.0467,3,minmax
SVM - Linear Kernel,0.4753,0.4989,0.4321,0.6261,0.3958,-0.0494,-0.0158,0.0067,3,minmax
Quadratic Discriminant Analysis,0.5247,0.4893,0.4321,0.5337,0.4682,0.0494,0.0527,0.0067,3,minmax
Extreme Gradient Boosting,0.4815,0.4865,0.5062,0.487,0.4914,-0.037,-0.0377,0.0833,3,minmax
Extra Trees Classifier,0.5123,0.484,0.5062,0.5209,0.5073,0.0247,0.0263,0.04,3,minmax
Logistic Regression,0.5,0.4723,0.4691,0.4974,0.4787,0.0,-0.0006,0.0067,3,minmax
CatBoost Classifier,0.4568,0.4449,0.3951,0.4491,0.4142,-0.0864,-0.0889,0.9833,3,minmax
K Neighbors Classifier,0.4691,0.4426,0.284,0.4545,0.3447,-0.0617,-0.0656,0.0067,3,minmax
Naive Bayes,0.4877,0.3795,0.2593,0.4709,0.3329,-0.0247,-0.0302,0.01,3,minmax
