Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Naive Bayes,0.2593,0.4778,0.2593,0.2695,0.2503,0.0103,0.0124,0.0067,3,minmax
K Neighbors Classifier,0.2654,0.4777,0.2654,0.2508,0.2436,0.0202,0.0223,0.0133,3,minmax
Extreme Gradient Boosting,0.2346,0.4704,0.2346,0.224,0.2269,-0.02,-0.02,0.12,3,minmax
CatBoost Classifier,0.2037,0.4495,0.2037,0.2163,0.2021,-0.0611,-0.0619,2.7,3,minmax
Extra Trees Classifier,0.2099,0.4471,0.2099,0.2127,0.2045,-0.0519,-0.0524,0.04,3,minmax
Random Forest Classifier,0.179,0.4468,0.179,0.1751,0.172,-0.093,-0.0952,0.0667,3,minmax
Logistic Regression,0.2531,0.0,0.2531,0.2331,0.236,0.0057,0.0055,0.01,3,minmax
SVM - Linear Kernel,0.2531,0.0,0.2531,0.2696,0.1999,0.0037,0.0008,0.0133,3,minmax
Quadratic Discriminant Analysis,0.3025,0.0,0.3025,0.2999,0.2948,0.0695,0.0704,0.0067,3,minmax
