Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Extra Trees Classifier,0.2708,0.5448,0.2708,0.256,0.2604,0.0278,0.0281,0.0433,3,standard
K Neighbors Classifier,0.2778,0.5343,0.2778,0.2669,0.251,0.037,0.0401,0.01,3,standard
Naive Bayes,0.2778,0.4928,0.2778,0.2799,0.2689,0.037,0.0373,0.0067,3,standard
Random Forest Classifier,0.2361,0.4591,0.2361,0.2305,0.2256,-0.0185,-0.0192,0.06,3,standard
Extreme Gradient Boosting,0.2014,0.4344,0.2014,0.1899,0.1916,-0.0648,-0.0672,0.1867,3,standard
CatBoost Classifier,0.2153,0.4336,0.2153,0.2147,0.2096,-0.0463,-0.047,2.3333,3,standard
Logistic Regression,0.3681,0.0,0.3681,0.3698,0.3647,0.1574,0.1583,0.0067,3,standard
SVM - Linear Kernel,0.3333,0.0,0.3333,0.3338,0.3282,0.1111,0.1126,0.0133,3,standard
Quadratic Discriminant Analysis,0.25,0.0,0.25,0.25,0.2407,0.0,-0.0002,0.0067,3,standard
