Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
K Neighbors Classifier,0.2569,0.497,0.2569,0.222,0.2371,0.0093,0.0093,0.0133,4,none
Naive Bayes,0.2778,0.496,0.2778,0.2475,0.2573,0.037,0.0374,0.0067,4,none
Extra Trees Classifier,0.1944,0.4935,0.1944,0.1923,0.1902,-0.0741,-0.0751,0.04,4,none
Random Forest Classifier,0.2361,0.4597,0.2361,0.2357,0.2327,-0.0185,-0.0187,0.05,4,none
CatBoost Classifier,0.1944,0.4439,0.1944,0.188,0.1861,-0.0741,-0.0752,2.41,4,none
Extreme Gradient Boosting,0.2014,0.4346,0.2014,0.197,0.1947,-0.0648,-0.0665,0.1567,4,none
Logistic Regression,0.3264,0.0,0.3264,0.3278,0.3247,0.1019,0.1022,0.0467,4,none
SVM - Linear Kernel,0.2569,0.0,0.2569,0.2263,0.2218,0.0093,0.0057,0.0133,4,none
Quadratic Discriminant Analysis,0.3056,0.0,0.3056,0.3345,0.2502,0.0741,0.1068,0.0067,4,none
