Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Extra Trees Classifier,0.2986,0.5181,0.2986,0.2949,0.2897,0.0648,0.0656,0.04,1,standard
K Neighbors Classifier,0.25,0.5133,0.25,0.2391,0.227,0.0,-0.0005,0.0133,1,standard
Naive Bayes,0.2639,0.4914,0.2639,0.2697,0.2566,0.0185,0.0187,0.0067,1,standard
Extreme Gradient Boosting,0.2014,0.45,0.2014,0.1848,0.1887,-0.0648,-0.0667,0.1533,1,standard
Random Forest Classifier,0.1944,0.4422,0.1944,0.1975,0.1939,-0.0741,-0.0749,0.0467,1,standard
CatBoost Classifier,0.1944,0.4228,0.1944,0.1887,0.1888,-0.0741,-0.0745,2.3233,1,standard
Logistic Regression,0.3611,0.0,0.3611,0.363,0.3574,0.1481,0.1491,0.0067,1,standard
SVM - Linear Kernel,0.3333,0.0,0.3333,0.3377,0.3323,0.1111,0.1117,0.0133,1,standard
Quadratic Discriminant Analysis,0.2778,0.0,0.2778,0.2821,0.2728,0.037,0.0371,0.0067,1,standard
