Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
K Neighbors Classifier,0.2778,0.5268,0.2778,0.2841,0.2598,0.037,0.039,0.0133,4,minmax
Naive Bayes,0.2708,0.493,0.2708,0.2744,0.2635,0.0278,0.0276,0.0067,4,minmax
Extra Trees Classifier,0.2014,0.4848,0.2014,0.1937,0.1943,-0.0648,-0.0656,0.04,4,minmax
Random Forest Classifier,0.2431,0.4629,0.2431,0.2412,0.2397,-0.0093,-0.0097,0.05,4,minmax
Extreme Gradient Boosting,0.2292,0.4394,0.2292,0.2305,0.2263,-0.0278,-0.0287,0.12,4,minmax
CatBoost Classifier,0.2153,0.4361,0.2153,0.2077,0.2066,-0.0463,-0.0471,2.2833,4,minmax
Logistic Regression,0.3264,0.0,0.3264,0.3468,0.3285,0.1019,0.1033,0.01,4,minmax
SVM - Linear Kernel,0.2986,0.0,0.2986,0.3139,0.2576,0.0648,0.0714,0.0133,4,minmax
Quadratic Discriminant Analysis,0.3125,0.0,0.3125,0.3088,0.3022,0.0833,0.0841,0.0067,4,minmax
