Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Extra Trees Classifier,0.2917,0.5221,0.2917,0.2868,0.2826,0.0556,0.0562,0.04,1,none
Naive Bayes,0.2569,0.4947,0.2569,0.2322,0.2401,0.0093,0.0088,0.0067,1,none
Extreme Gradient Boosting,0.2014,0.45,0.2014,0.1848,0.1887,-0.0648,-0.0667,0.2933,1,none
Random Forest Classifier,0.1944,0.4409,0.1944,0.1936,0.1928,-0.0741,-0.0746,0.05,1,none
K Neighbors Classifier,0.1875,0.4272,0.1875,0.1708,0.1748,-0.0833,-0.0844,0.01,1,none
CatBoost Classifier,0.1875,0.4267,0.1875,0.1826,0.1804,-0.0833,-0.0835,2.62,1,none
Logistic Regression,0.3125,0.0,0.3125,0.3192,0.3096,0.0833,0.0843,0.0367,1,none
SVM - Linear Kernel,0.2569,0.0,0.2569,0.2621,0.1969,0.0093,0.0239,0.0133,1,none
Quadratic Discriminant Analysis,0.2014,0.0,0.2014,0.1482,0.1508,-0.0648,-0.0773,0.01,1,none
