Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Naive Bayes,0.2531,0.4798,0.2531,0.2534,0.24,0.0019,0.0044,0.0067,3,none
Extreme Gradient Boosting,0.2346,0.4704,0.2346,0.224,0.2269,-0.02,-0.02,0.1367,3,none
Random Forest Classifier,0.1975,0.4494,0.1975,0.1981,0.1933,-0.0686,-0.0701,0.0633,3,none
CatBoost Classifier,0.2099,0.4474,0.2099,0.2232,0.2085,-0.0528,-0.0537,2.7267,3,none
Extra Trees Classifier,0.1975,0.4394,0.1975,0.2027,0.1952,-0.0692,-0.0698,0.0433,3,none
K Neighbors Classifier,0.2222,0.432,0.2222,0.2143,0.2108,-0.0358,-0.0378,0.0133,3,none
Logistic Regression,0.2469,0.0,0.2469,0.2514,0.2428,-0.0025,-0.0027,0.0433,3,none
SVM - Linear Kernel,0.2407,0.0,0.2407,0.2244,0.2048,-0.0114,-0.0153,0.0133,3,none
Quadratic Discriminant Analysis,0.2346,0.0,0.2346,0.1394,0.1452,-0.0135,-0.0435,0.0067,3,none
