Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Naive Bayes,0.2593,0.4776,0.2593,0.2695,0.2503,0.0103,0.0124,0.0067,2,minmax
Extreme Gradient Boosting,0.2531,0.4775,0.2531,0.251,0.25,0.0046,0.0046,0.1933,2,minmax
Extra Trees Classifier,0.2222,0.4591,0.2222,0.22,0.2148,-0.0366,-0.037,0.0533,2,minmax
K Neighbors Classifier,0.2407,0.4523,0.2407,0.2297,0.2272,-0.0141,-0.0151,0.0133,2,minmax
Random Forest Classifier,0.1914,0.4493,0.1914,0.1815,0.1797,-0.0761,-0.0778,0.0633,2,minmax
CatBoost Classifier,0.2284,0.4265,0.2284,0.232,0.2266,-0.0277,-0.028,2.7233,2,minmax
Logistic Regression,0.2654,0.0,0.2654,0.2469,0.2503,0.0218,0.022,0.02,2,minmax
SVM - Linear Kernel,0.2654,0.0,0.2654,0.2352,0.2366,0.0195,0.0216,0.0133,2,minmax
Quadratic Discriminant Analysis,0.2469,0.0,0.2469,0.2609,0.2471,-0.0033,-0.003,0.0067,2,minmax
