Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
K Neighbors Classifier,0.2778,0.5174,0.2778,0.2784,0.2623,0.037,0.0386,0.0167,4,standard
Naive Bayes,0.2708,0.493,0.2708,0.2744,0.2635,0.0278,0.0276,0.0067,4,standard
Extra Trees Classifier,0.1944,0.4912,0.1944,0.1942,0.1919,-0.0741,-0.0747,0.04,4,standard
Random Forest Classifier,0.2361,0.4619,0.2361,0.2351,0.2329,-0.0185,-0.0189,0.05,4,standard
CatBoost Classifier,0.2153,0.4354,0.2153,0.2166,0.2118,-0.0463,-0.0467,2.2867,4,standard
Extreme Gradient Boosting,0.2014,0.4346,0.2014,0.197,0.1947,-0.0648,-0.0665,0.13,4,standard
Logistic Regression,0.3681,0.0,0.3681,0.3686,0.3611,0.1574,0.159,0.0067,4,standard
SVM - Linear Kernel,0.3403,0.0,0.3403,0.3412,0.3337,0.1204,0.1217,0.0133,4,standard
Quadratic Discriminant Analysis,0.2917,0.0,0.2917,0.2954,0.2838,0.0556,0.0561,0.0067,4,standard
