Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Extra Trees Classifier,0.2917,0.5347,0.2917,0.285,0.2819,0.0556,0.0563,0.0567,2,none
Naive Bayes,0.2569,0.4951,0.2569,0.2322,0.2401,0.0093,0.0088,0.0067,2,none
Random Forest Classifier,0.25,0.4535,0.25,0.249,0.2408,0.0,0.0002,0.05,2,none
Extreme Gradient Boosting,0.2014,0.45,0.2014,0.1848,0.1887,-0.0648,-0.0667,0.1567,2,none
CatBoost Classifier,0.2014,0.4333,0.2014,0.2067,0.1978,-0.0648,-0.0654,2.3367,2,none
K Neighbors Classifier,0.1875,0.4272,0.1875,0.1708,0.1748,-0.0833,-0.0844,0.0133,2,none
Logistic Regression,0.3125,0.0,0.3125,0.3188,0.3099,0.0833,0.0842,0.05,2,none
SVM - Linear Kernel,0.2569,0.0,0.2569,0.2621,0.1969,0.0093,0.0239,0.0133,2,none
Quadratic Discriminant Analysis,0.2153,0.0,0.2153,0.1611,0.1602,-0.0463,-0.0534,0.01,2,none
