iter	Logloss
0	0.6915587566
1	0.6904233972
2	0.6889326309
3	0.6880257477
4	0.6867872854
5	0.685497523
6	0.6836510074
7	0.6824964273
8	0.6810150772
9	0.6797760026
10	0.6782553276
11	0.6774104106
12	0.6763065674
13	0.6753336511
14	0.6747300752
15	0.6734240059
16	0.6725155112
17	0.671587034
18	0.6699920369
19	0.6688807697
20	0.6681896167
21	0.6673395558
22	0.6667057551
23	0.6657896539
24	0.6645772524
25	0.6637010512
26	0.6629309096
27	0.6620445425
28	0.6611167595
29	0.660443291
30	0.6594849841
31	0.6585852751
32	0.657892091
33	0.6566418005
34	0.6559155415
35	0.6550504075
36	0.6542297436
37	0.6531621225
38	0.652227716
39	0.6511210483
40	0.6500422322
41	0.6486281153
42	0.6475873679
43	0.6468707079
44	0.6458533723
45	0.6448986195
46	0.643766861
47	0.6427042057
48	0.6417828493
49	0.6406072557
50	0.63932875
51	0.6382259554
52	0.6371963683
53	0.6360665602
54	0.6348512755
55	0.6337798266
56	0.6327494156
57	0.6315579923
58	0.6305387661
59	0.629995618
60	0.6291077094
61	0.6281872287
62	0.6273639192
63	0.6266101441
64	0.6258521912
65	0.6249993786
66	0.6240613155
67	0.6232956619
68	0.6223786598
69	0.6212827243
70	0.620464105
71	0.6194681832
72	0.618354746
73	0.6174893931
74	0.6160813166
75	0.6153463497
76	0.6142520456
77	0.6132800918
78	0.6127523026
79	0.612031275
80	0.6111065203
81	0.6101820764
82	0.6094598217
83	0.6085582919
84	0.6079214466
85	0.6070692007
86	0.6059530532
87	0.6050661346
88	0.6043339675
89	0.603518823
90	0.6027558319
91	0.6020940271
92	0.6012359751
93	0.6005000273
94	0.5997968573
95	0.599092562
96	0.5982383595
97	0.5974888661
98	0.5967114373
99	0.5961616379
100	0.5957774179
101	0.5949264441
102	0.5937895974
103	0.5929392436
104	0.5923713817
105	0.5917254707
106	0.5912663616
107	0.5904494759
108	0.589870795
109	0.5896577831
110	0.5887101449
111	0.5881316253
112	0.5874176773
113	0.5866381085
114	0.5859284685
115	0.5847328065
116	0.5842164372
117	0.5833710636
118	0.5825042778
119	0.5813751648
120	0.5802675624
121	0.5794923458
122	0.5789409044
123	0.5780529032
124	0.5772601102
125	0.57669888
126	0.576059759
127	0.5752410629
128	0.5743610865
129	0.5737492781
130	0.5725764564
131	0.5721311957
132	0.571691529
133	0.571331225
134	0.5707968653
135	0.5703332041
