iter	Logloss
0	0.6817985846
1	0.6716453616
2	0.6622661347
3	0.6506814894
4	0.6427833527
5	0.6334076766
6	0.6219040036
7	0.6136873632
8	0.600330993
9	0.5888797141
10	0.5813546264
11	0.571462419
12	0.5629469241
13	0.5558477511
14	0.5481192938
15	0.5397834414
16	0.5313149098
17	0.5238269992
18	0.5150407816
19	0.5068995403
20	0.500477153
21	0.4940912112
22	0.485609404
23	0.4753630904
24	0.4679714946
25	0.4594742037
26	0.4528777476
27	0.4446889221
28	0.4371767457
29	0.4324244033
30	0.4253108813
31	0.4177859654
32	0.4115912008
33	0.4052760878
34	0.398805098
35	0.3922412769
36	0.3853960584
37	0.3813429392
38	0.3746112851
39	0.3696619674
40	0.3652810868
41	0.3599604483
42	0.3547000973
43	0.3499355689
44	0.3455456863
45	0.3406394053
46	0.336611475
47	0.3326243039
48	0.3291121338
49	0.3255177464
50	0.3214235097
51	0.3166308199
52	0.3129554636
53	0.3084236241
54	0.3044676396
55	0.2998886669
56	0.295893665
57	0.2922313794
58	0.2884090848
59	0.284995056
60	0.2814135957
61	0.2778608855
62	0.27436376
63	0.27101161
64	0.2676349817
65	0.2651144967
66	0.261924528
67	0.2588364495
68	0.2553178182
69	0.2518189711
70	0.2488327436
71	0.2453805256
72	0.2419233038
73	0.2387682235
74	0.2357617181
75	0.2335439761
76	0.2313804261
77	0.2288008458
78	0.2263645953
79	0.2239400985
80	0.2216428555
81	0.2198216109
82	0.2175730953
83	0.2145664108
84	0.2122302799
85	0.2095827604
86	0.2073105701
87	0.2053076886
88	0.2033803073
89	0.2015036229
90	0.1992437973
91	0.1977259267
92	0.1958419379
93	0.19400713
94	0.1917827479
95	0.1899275933
96	0.1881023225
97	0.1864762127
98	0.1839721322
99	0.1820749608
100	0.1805221653
101	0.1790383998
102	0.1769856439
103	0.1748582926
104	0.1729421357
105	0.1714395393
106	0.1695940685
107	0.1678872276
108	0.165783172
109	0.1640758075
110	0.1623471726
111	0.1608068253
112	0.1588322785
113	0.1572763341
114	0.1554765029
115	0.1536556833
116	0.1524876027
117	0.1511333862
118	0.1499131309
119	0.1478048471
120	0.1460016948
121	0.144759587
122	0.1431383807
123	0.1420212757
124	0.1407786801
125	0.1389182019
126	0.1375670121
127	0.1364661228
128	0.1349640458
129	0.1339559148
130	0.1327608237
131	0.131378488
132	0.1301910797
133	0.128898138
134	0.127978904
135	0.1269752229
136	0.1260533989
137	0.1250321519
138	0.1229790862
139	0.1218591045
140	0.1208011769
141	0.1196757655
142	0.1187629598
143	0.1176916685
144	0.1167471816
145	0.1156508425
146	0.1144977628
147	0.1137234938
148	0.1129785744
149	0.1121496773
150	0.1112272809
151	0.1105837284
152	0.1100316828
153	0.1089894031
154	0.1081482692
155	0.1072064833
156	0.1063215948
157	0.1052897376
158	0.1047371121
159	0.1041886504
160	0.1034074225
161	0.1026333892
162	0.1015671728
163	0.1008418294
164	0.09982675183
165	0.09909363376
166	0.09818132266
167	0.0972927684
168	0.09662081214
169	0.09608315359
170	0.09539776911
171	0.09456444504
172	0.09423235873
173	0.09357323663
174	0.09305296692
175	0.09242925312
176	0.09155790707
177	0.09097834295
178	0.09033619222
179	0.08961060437
180	0.08893619637
181	0.08825573365
182	0.08740003212
183	0.08680462206
184	0.08606216189
185	0.0853900209
186	0.08480792554
187	0.0840558038
188	0.08349854195
189	0.08308800118
190	0.08241241158
191	0.08180005362
192	0.08105706192
193	0.08038377353
194	0.07966234087
195	0.07913169941
196	0.07861671484
197	0.07805331843
198	0.07767584164
199	0.07679501952
200	0.07617823029
201	0.07547006514
202	0.07481703967
203	0.0742540637
204	0.07376917897
205	0.07336888825
206	0.07303564864
207	0.0725209061
