iter	Logloss
0	0.6910025985
1	0.6892586461
2	0.6878965872
3	0.6870327702
4	0.6857479237
5	0.6843200966
6	0.6829492074
7	0.6817571852
8	0.6799644894
9	0.6783692395
10	0.6763831245
11	0.67537053412	0.6753086514
13	0.673978311
14	0.6723752905
15	0.6710941173
16	0.6694081624
17	0.6673952738
18	0.666489919
19	0.6653382337
20	0.6644757589
21	0.6634887413
22	0.6616379067
23	0.6608302505
24	0.6596917046
25	0.6580837391
26	0.6568150697
27	0.6560000667
28	0.6545819883
29	0.6532833665
30	0.6516525127
31	0.6505803709
32	0.6487874632
33	0.6472900532
34	0.6459555449
35	0.6447486877
36	0.6437998878
37	0.642738201
38	0.641628548
39	0.640141805
40	0.6387433653
41	0.637721309
42	0.6363728841
43	0.6348461575
44	0.6342827126
45	0.6327727989
46	0.6321958613
47	0.6309729682
48	0.6298141479
49	0.6285629272
50	0.6275239167
51	0.6265659332
52	0.6253453007
53	0.6236163952
54	0.6228302143
55	0.6214048598
56	0.6199438307
57	0.6187838095
58	0.6176196204
59	0.6164651094
60	0.6150384126
61	0.6137559679
62	0.6124570635
63	0.6113698747
64	0.6103366569
65	0.6091367933
66	0.607773251
67	0.6065842664
68	0.6054868345
69	0.6039999503
70	0.6028000867
71	0.6022582584
72	0.600863704
73	0.5995621858
74	0.5984952008
75	0.5977527477
76	0.5966292487
77	0.5954312219
78	0.594519156
79	0.5931599935
80	0.5925664549
81	0.5911621164
82	0.5897977617
83	0.5887802619
84	0.5876054764
85	0.5864587007
86	0.585085445
87	0.5840558653
88	0.5827572434
89	0.5816923071
90	0.5805402685
91	0.91	0.56963692	0.92	0.56872093	0.5761892177
94	0.5748637517
95	0.573821527
96	096	0.5647378498
97	0.56418198	0.5709135267
99	0.99	0.5618819484
100	0.5604865816
101	0.5589534618
102	0.5577560707
103	0.5564729549
104	0.5556360527
105	0.5542346107
106	0.5533185182
107	0.5521776411
108	0.5507175304
109	0.5493985282
110	0.5483328501
111	0.5473409935
112	0.5458794347
113	0.545291936
114	0.5438526295
115	0.542568666
116	0.5413873461
117	0.5408246076
118	0.5399310501
119	0.5388495834
120	0.5380707494
121	0.5367740349
122	0.5357078976
123	0.5347808555
124	0.5338688603
125	0.5326225139
126	0.5316098884
127	0.5306459709
128	0.5293612657
129	0.5280505993
130	0.5269371315
131	0.5258544639
132	0.5245236291
133	0.5233048686
134	0.522079821
135	0.5209022805
136	0.5194548854
137	0.5183441021
138	0.5176204752
139	0.5169590491
140	0.5157900563
141	0.5151278178
142	0.5138883944
143	0.5126378801
144	0.5115364216
145	0.5105907299
146	0.5093067664
147	0.508314274
148	0.507171207
149	0.5059222469
150	0.5051007447
151	0.5042916051
152	0.5034123527
153	0.5022763853
154	0.50140561
155	0.5001813394
156	0.4991273174
157	0.4985928006
158	0.4972695598
159	0.4965850689
160	0.4957074766
161	0.4945762776
162	0.4941071051
163	0.4932083907
164	0.4921521081
165	0.4910091824
166	0.4904756546
167	0.4895659906
168	0.4883208451
169	0.487597077
170	0.4864444379
171	0.4857019142
172	0.485135255
173	0.4842893812
174	0.4830770846
175	0.4824350852
176	0.4816296542
177	0.4807913392
178	0.4798884215
179	0.4791969017
180	0.478186784
181	0.4770285995
182	0.4759645815
183	0.4751606694
184	0.4738652971
185	0.4730263816
186	0.472321475
187	0.4712838773
188	0.4703211961
189	0.4696237423
190	0.4687193411
191	0.4679127799
192	0.467061502
193	0.4663226869
194	0.4655475616
195	0.4650117733
196	0.4639176969
197	0.4626587055
198	0.4618487535
199	0.460687496
200	0.4601183291
201	0.4593518575
202	0.4584751482
203	0.4578284511
204	0.4567963635
205	0.4561061153
206	0.4553032981
207	0.4544937699
208	0.453693178
209	0.4528474455
210	0.4520517985
211	0.4513286661
212	0.4503808198
213	0.4493070532
214	0.4486469339
215	0.4480956749
216	0.4471042068
217	0.4462526109
218	0.4454167684
219	0.4446933181
220	0.4443132612
221	0.4434567911
222	0.4424093388
223	0.441823041
224	0.4406408381
225	0.4397549453
226	0.4390528644
227	0.438238921
228	0.4376159244
229	0.436697642
230	0.4355946294
231	0.4345958851
232	0.4339482343
233	0.4329501611
234	0.4319435755
235	0.4313752916
236	0.4306965581
237	0.42991398
238	0.4289617538
239	0.4279484219
240	0.4271673273
241	0.4264473385
242	0.4257663797
243	0.4252893307
244	0.4248436115
245	0.4241663262
246	0.4234313258
247	0.4222696446
248	0.4215882619
249	0.4209407171
250	0.4203163076
251	0.4192853857
252	0.418327826
253	0.4173451176
254	0.416816005
255	0.4160455421
256	0.4151040536
257	0.4143038149
258	0.4137745963
259	0.4131355992
260	0.411679056
261	0.4111651668
262	0.4101205049
263	0.4088795273
264	0.4080669262
265	0.4073980826
266	0.4067111192
267	0.4059309076
268	0.4053529104
269	0.4046991136
270	0.4036811899
271	0.4029359464
272	0.402174879
273	0.4015840601
274	0.400567196
275	0.4000615367
276	0.3990775921
277	0.398451028
278	0.3974879936
279	0.3968092954
280	0.3963179058
281	0.3955041391
282	0.3948406643
283	0.3940663514
284	0.3933057079
285	0.3926830292
286	0.3921504551
287	0.3914794215
288	0.3908851765
289	0.3898666523
290	0.389007745
291	0.3880562959
292	0.3872685256
293	0.3863312403
294	0.3855257741
295	0.3847090756
296	0.3839564147
297	0.3828994256
298	0.3822302642
299	0.3816030997
300	0.3804399702
301	0.3799272113
302	0.3790369387
303	0.3783072719
304	0.377411807
305	0.3766745108
306	0.3760691042
307	0.3751437223
308	0.3744713465
309	0.373953784
310	0.3730667609
311	0.3724884457
312	0.372030682
313	0.371467449
314	0.3709754591
315	0.3705632952
316	0.3697890176
317	0.3689164762
318	0.3685473689
319	0.3673740316
320	0.3668334043
321	0.3663993412
322	0.3656311742
323	0.3652737935
324	0.3647366983
325	0.3639877814
326	0.3632940716
327	0.3624489396
328	0.3619578679
329	0.3614970313
330	0.3607345157
331	0.3603477478
332	0.3595786271
333	0.3591578448
334	0.358495571
335	0.3577287109
336	0.3570423833
337	0.3562300647
338	0.3556618867
339	0.3549809632
340	0.3542584666
341	0.353670862
342	0.3530104602
343	0.352448746
344	0.3519801387
345	0.3512435489
346	0.3504412969
347	0.3502299697
348	0.3496836203
349	0.3490025556
350	0.3485225042
351	0.3482783989
352	0.3478019149
353	0.347102695
354	0.3463537781
355	0.3457389761
356	0.3451231497
357	0.3443740562
358	0.3438145673
359	0.3433047047
360	0.3425981027
361	0.3422584534
362	0.3411269718
363	0.3402727268
364	0.3399702708
365	0.3392513416
366	0.3386087064
367	0.3378867397
368	0.3373342443
369	0.3367636645
370	0.3361372771
371	0.3357010594
372	0.3351169162
373	0.334351363
374	0.333649706
375	0.3333065951
376	0.3328504916
377	0.332245085
378	0.3317796213
379	0.3311938886
380	0.3307469333
381	0.3298396358
382	0.3293021167
383	0.3288809458
384	0.328526179
385	0.3279902847
386	0.3274241553
387	0.3268553416
