ln_hf,rsa_mssd,vlf,vlf_mssd,ln_vlf,lf,lf_var,lf_mssd,lf_autocorr,ln_lf,ln_lf_mssd,ln_lf_autocorr,p_pow,p_pow_var,p_pow_autocorr,p_hz_autocorr,sdnn,sdnn_autocorr,t_pow,t_pow_autocorr,d_pow,d_pow_var,d_pow_autocorr,hf_norm,hf_p_norm,p_pow_norm,coh_ratio_norm,t_pow_norm,valence
-1.8836635687938454,-0.4856178652562338,-0.5010807601994263,-0.19090708219208488,-0.5364955405532483,-1.1337200085956096,-0.3451959253546597,-0.3837901183730142,0.7714673241323201,-2.4684989102830523,-0.0596454564408732,0.7759272474651704,-0.9270934192673469,-0.3249876780074038,0.265462817134221,0.8087055083216099,-1.0269868514808491,0.7833944474329358,-0.8683832959302527,0.9401136561141813,-0.6475914295245738,-0.20503364746192096,0.8041343653458457,-0.6496264518495449,-0.6709788720390556,-0.9678951199356155,-0.9951918751468121,-0.6661688847370427,1
-1.7995803230631497,-0.3888302788046408,-0.4372489321189847,-0.18374912787301112,-0.3255128969414113,-1.131775918204239,-0.35522165829446284,-0.3760102786599126,-0.5552951599561047,-2.4312170910733983,0.9399557960923846,-0.6824006476267622,-0.9339765547791307,-0.32923189071748865,-1.5259650342773035,-2.0487602201462645,-1.0982524205306368,0.8115026917357061,-0.8431899601116664,0.7976297835109735,-0.5433093495281366,-0.21145278620658814,0.6437019254527165,-0.6379506036961312,-0.7374302069310426,-0.9839157719595459,-1.1803314462554262,-0.5864246987555318,1
-1.6905449496951432,-0.3395969604865155,-0.5819600340768228,-0.1936733132479704,-0.8201497527246601,-1.0974020684410812,-0.3530946270216232,-0.35257073420214463,-1.4631378297506206,-2.1830351824652072,1.6311767513058462,-1.5034711965368877,-0.9186417831341646,-0.3261380730509639,-1.460189556008127,-1.8925187692968386,-1.2814550448510331,-1.0459864137584198,-0.8757040961299198,-0.37629147101640786,-0.6388181639090877,-0.20389598836268816,0.7046151571843715,-0.6212883022322104,-0.6517091460415825,-0.9283234194579365,-0.9563879300747228,-0.6395922094765325,1
-1.4420340821276902,-0.41544986006288726,-0.4661480212988902,-0.19439253654121053,-0.38643372319556407,-0.9899279965743506,-0.33289926304001494,-0.3583480241409242,0.5014670710649319,-1.6183599221110183,0.21830186158150078,0.4513638046393352,-0.8620759959139709,-0.3164681076828206,0.4034123774603218,0.9081112086112643,-1.1930719958341407,-0.8438935743387537,-0.7881267474578794,-0.17892804098190396,-0.6052322245553892,-0.2150411092841761,-0.05816874256524774,-0.520255032776283,-0.827258817916396,-0.6756582054817728,-1.1167220361116736,-0.09326088504528444,1
-1.5384978592327545,-0.455953691163327,-0.4425453819453856,-0.1920842372074694,-0.3182254264841014,-0.9193025671358865,-0.3547147229729184,-0.37956339161111324,-0.05459185298770978,-1.3236128858760225,-0.4549095379263396,0.005227748930925801,-0.8656085598984916,-0.31985449988772463,0.046842729110118594,0.004996876816332466,-1.1508463073295887,-1.245090312655154,-0.7597855652676536,-1.466824621614542,-0.5930700054447879,-0.2157794312617193,0.6938340118972023,-0.3880115912199134,-0.854225785687485,-0.6265618135640109,-1.3539235616140517,0.42527846407705516,1
-1.4030960351112285,-0.4814579543976588,-0.597060869455134,-0.18813711324666782,-0.936700572284555,-0.7836266105841827,-0.31484105287966535,-0.3804727674159226,0.9214425432268494,-0.9203495065396676,-0.5088348973495032,0.9215644826429961,-0.658304140391439,-0.29662997843387157,1.1786471023496377,1.4294687546745586,-1.139212446044117,-0.8440103959553498,-0.7573816637773496,-1.5951510445253956,-0.6200803722313641,-0.21489676923152892,-0.017011087923652992,-0.1939155636652456,-0.5559155002514731,0.49015452481896477,0.17615831740169488,0.23283069812256696,1
-0.7051701923621104,-0.4683773901064412,-0.2323428511798631,-0.17711771523256137,0.14259961755166145,-0.6986895815982626,-0.35421833428340954,-0.3735561929991511,-0.37661329288453227,-0.6990424597915189,-0.5210638972551419,-0.3611357040311344,-0.524004830793726,-0.3267518987405244,0.8520779080327469,-1.422421696206978,-0.672645847125154,0.625090047382028,-0.5562682105693674,0.4227855156307816,-0.28775701935989184,-0.21552068363117421,-1.6908361195686763,-0.15660572239508183,-0.5668013609373538,0.4628383656960965,-0.02266677773583227,0.3474737081663243,-1
-0.6818936768042704,-0.41817153516260075,0.08743779146719999,-0.14705579314183093,0.5789881404015588,-0.6991275269286993,-0.2991202470023319,-0.3588868278812689,0.795521230697353,-0.7113261343646399,-0.42166114589171716,0.7913022361081532,-0.47162676848688845,-0.297490490357695,1.2112499017062723,-0.06788534358726357,-0.4652516964167922,1.0441100077875785,-0.44627921920840735,0.9152597338741179,-0.06355490376512539,-0.18415773197998198,0.6281790687221845,-0.17178792011201827,-0.717492804094402,0.6973888806522867,-0.17470747582155086,0.6988503089843332,-1
-0.8703941338455502,-0.44946938723813595,-0.2346759960523385,-0.15572796405241884,0.12058068851906678,-0.7554123929240133,-0.31104634781903034,-0.34407883971664116,0.6428510796586385,-0.8440044546647405,-0.264373032898155,0.5709533661108139,-0.7048254202675279,-0.2678333984892209,-0.5949635070039841,0.14014670619336894,-0.4869271174234549,0.31615791441687774,-0.592164092674882,0.7448616817215449,-0.2766368518727746,-0.17385125393661618,0.6423257635038317,-0.32177202631620994,-0.7521219824598472,-0.15112173035290663,-0.7498541083989636,0.35765872152210115,-1
-1.0237074018579686,-0.354313232311166,-0.3392970716822449,-0.18613061114172313,-0.06517550217325269,-0.7643283617292269,-0.3577956444013073,-0.38402725671795107,-1.1106205553523603,-0.8563596832144386,-0.5811953265703289,-1.151926358953353,-0.7404176836390303,-0.289491754039248,0.42662739564446517,0.9203221090281959,-0.5330789043743617,-1.3890611289242085,-0.6412667424066216,-1.4020197435705875,-0.36879012908708025,-0.21563618814034777,-0.5654897660318146,-0.3449975456174156,-0.8472002585193957,-0.19948177763089647,-0.9833977144778725,0.5508008892009274,-1
