ln_hf,rsa_mssd,vlf,vlf_mssd,ln_vlf,lf,lf_var,lf_mssd,lf_autocorr,ln_lf,ln_lf_mssd,ln_lf_autocorr,p_pow,p_pow_var,p_pow_autocorr,p_hz_autocorr,sdnn,sdnn_autocorr,t_pow,t_pow_autocorr,d_pow,d_pow_var,d_pow_autocorr,hf_norm,hf_p_norm,p_pow_norm,coh_ratio_norm,t_pow_norm,valence
-1.6363414052311225,-0.526558573731125,-0.4632131381437368,-0.2033363487861569,-1.1056522956339292,-0.7843293232312734,-0.1416538576213637,-0.24653329019264392,-0.07983410655224142,-1.3031649488795776,0.5384480200481879,-0.4239261183820701,-0.6737730234217588,-0.13362501673731642,1.0539645562897126,1.1676884700264454,-0.9014982236678648,1.1717917544633856,-0.6889580556711441,0.9426717061944676,-0.4893897912433083,-0.09193502432928159,0.49115510994125783,-0.4514420998555328,-0.9111456638466175,-0.443109484626594,-0.9158816015207075,-0.10770043950660602,1
-1.6085669570218122,-0.5220420478495853,-0.509307082100132,-0.20654274585532606,-1.6094029856838623,-0.8292870723853768,-0.1421574464912436,-0.22034544221628916,-3.668397151307225,-1.5868666748581783,3.8161322884347624,-3.6744201048168503,-0.6876493805064037,-0.1341469519694116,-2.453473727109038,-2.455853116812509,-0.9089298239741634,0.9502323590318668,-0.7241703388232476,-3.257156650533715,-0.48715700624639796,-0.09220769605581214,-2.9298615304883757,-0.43816512253170076,-0.7174563864642864,-0.49877070488642766,-0.7918638020237494,-0.2751300764946471,1
-1.5428080869326637,-0.5284310595476314,-0.5143338021967624,-0.20658047441208605,-1.7108287390448613,-0.8300795876028282,-0.14248519815973207,-0.2204075471796691,-4.410895225710831,-1.5914409405371273,4.406755519082492,-4.668026105196886,-0.6902264669616512,-0.13415562423048782,-2.915176141567683,-3.6795676728222135,-0.9288160520754128,1.017970005307803,-0.7249167121011244,-3.2951432506792493,-0.47293432191284696,-0.09202289673975189,-3.953788324077152,-0.27487504725313217,-0.3637784518166889,-0.42850690322431767,-0.7784809460803852,-0.1731049353958923,1
-1.356586536393199,-0.5258509100753811,-0.5106625475308567,-0.20642618056174147,-1.6381379438874242,-0.8198428873371607,-0.14202184240024665,-0.2333135082201351,-1.7986936107508396,-1.5216150391695287,2.715600754300968,-2.1518609541213687,-0.6655381718837251,-0.13219696462450958,1.2405779455773018,1.2709193176744742,-0.9134891486765199,1.1728654662719284,-0.7115405033583195,0.7815227537113805,-0.49396519971549313,-0.09211407659813807,-0.42947097459038497,-0.06844272222173517,-0.1145688307561822,-0.2474272471362184,-0.6113490733192013,-0.024759212548321412,1
-0.46641959066751215,-0.48285023983496506,-0.49899889007557163,-0.20633321457262602,-1.4343858798015257,-0.8097974491780419,-0.14338156344172248,-0.25537822465369014,0.662251139573564,-1.4486764347973686,-0.5134679765711726,0.6257083315868375,-0.5901720250922474,-0.13375542647664607,0.8593506454902441,1.2709915597301888,-0.8674646317323063,-1.0626940031163763,-0.6607667559614446,-1.728020299800565,-0.49882636650135287,-0.09224312504795676,-1.4745195876037098,0.33776859915067425,0.20311289466552568,0.2932754945158794,-0.16730839296151756,0.4176804847743579,1
-0.6041293633190234,-0.5217294918436324,-0.5034981203830564,-0.2065340172862277,-1.5029184094041073,-0.8047517124215111,-0.14334593191710426,-0.25442837325335177,0.35896409406497576,-1.4171412960862304,-0.4460057671239979,0.40125043286393647,-0.5741725387650057,-0.13407781111251446,0.7683166531378209,-0.18523472047467454,-0.8976608447428767,1.1298597412937725,-0.6704893181905133,0.569690915111833,-0.5074831252310908,-0.09230286691857706,-1.6488588419227133,-0.19017655167460898,-0.42198404905973097,0.20763038333838155,0.38612278053447147,0.035013749688499005,1
-1.302031822266809,-0.5224976995939001,-0.523956198802699,-0.2064922645812071,-1.961240349116905,-0.8958035661762433,-0.14395803878425492,-0.2557665804944022,-0.3628367364647267,-2.2047036989070707,-0.3278458953391919,-0.42893588776243524,-0.6778822142080068,-0.13407348373598732,-0.7585186879677592,-0.3493902843453798,-1.0210085315982205,0.9256057609712574,-0.7470230362961507,-0.1289357591689541,-0.48756186794418027,-0.0920698517237655,-1.385960446319997,-0.33831188366670406,0.1647410761847225,-0.47215380387808953,-0.021003828007385303,-0.5263785371608494,-1
-1.25407681305268,-0.5286189158252832,-0.533787170743904,-0.2065427941894932,-2.282245910293289,-0.912986203005814,-0.14384547744593745,-0.25612566333590003,0.6968467485707607,-2.450962547113386,-0.42835277721945425,0.6884868085613995,-0.6737762446929255,-0.13411560273632847,-0.7229375366877839,-1.8387799980593953,-1.0212309770628485,1.0082938181454992,-0.7559573165115517,-0.3749103420011003,-0.5003317936912897,-0.09209344314292142,-3.6192597882639155,-0.3092483360888782,0.3491344673316137,-0.3910035883073239,0.40723650315523613,-0.5318550702972723,-1
-1.2016063199907132,-0.38634383412896023,-0.5317511762192402,-0.20505927260668433,-2.211325795507257,-0.9168157518516273,-0.14346776240061915,-0.24597014799787192,-3.1215377174320924,-2.520512194324269,4.522176701985841,-3.251736639432668,-0.6704185216499495,-0.13385606063239766,-1.813681274372134,-0.670378915864915,-1.013841976375209,-1.7347153397042379,-0.7541303671051985,-2.341079548545633,-0.4631088952159905,-0.09178843974503496,0.04500303405047014,-0.06964108014378258,1.004604001606374,-0.24382041688600645,0.5963803512220076,-0.44089563554696853,-1
-1.3296078737146748,-0.47088671096831075,-0.50637332035166,-0.20583856119003374,-1.5821280060621215,-0.9154815052191411,-0.14380851777842354,-0.2549951625207105,-0.3640434704474847,-2.4920553937811,0.19501153595108842,-0.2679136097768452,-0.6838479680261792,-0.13389259475113707,-0.05891433705091032,-0.26327687941244626,-1.035413021815506,-0.6469146744149828,-0.7478552388316766,-1.1908606366470726,-0.49274350732947136,-0.09193884816285905,-0.33690484695520784,-0.09951318464010964,0.627970402867129,-0.4072744203648415,-0.2931914232563085,-0.36594961372297935,-1
