Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
K Neighbors Classifier,0.2531,0.4985,0.2531,0.238,0.2315,0.0042,0.0037,0.0133,1,standard
Naive Bayes,0.2593,0.4776,0.2593,0.2695,0.2503,0.0103,0.0124,0.0067,1,standard
Extreme Gradient Boosting,0.2531,0.4775,0.2531,0.251,0.25,0.0046,0.0046,0.33,1,standard
Extra Trees Classifier,0.2469,0.465,0.2469,0.2435,0.2416,-0.0046,-0.0047,0.04,1,standard
CatBoost Classifier,0.1975,0.4322,0.1975,0.197,0.1914,-0.069,-0.07,2.8667,1,standard
Random Forest Classifier,0.2099,0.421,0.2099,0.209,0.2074,-0.0532,-0.0534,0.0467,1,standard
Logistic Regression,0.2531,0.0,0.2531,0.2598,0.2478,0.005,0.0052,0.01,1,standard
SVM - Linear Kernel,0.2469,0.0,0.2469,0.2319,0.234,-0.003,-0.0031,0.0133,1,standard
Quadratic Discriminant Analysis,0.3272,0.0,0.3272,0.3015,0.2984,0.1023,0.1072,0.0067,1,standard
