Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
SVM - Linear Kernel,0.6173,0.6182,0.642,0.6228,0.6219,0.2346,0.2425,0.01,2,standard
Naive Bayes,0.5494,0.5992,0.4568,0.5677,0.5041,0.0988,0.1026,0.0067,2,standard
Logistic Regression,0.5864,0.5985,0.5679,0.6063,0.5732,0.1728,0.1808,0.0067,2,standard
Extra Trees Classifier,0.5679,0.5789,0.5556,0.5693,0.5623,0.1358,0.1359,0.04,2,standard
Quadratic Discriminant Analysis,0.5679,0.5656,0.5309,0.5772,0.5511,0.1358,0.1374,0.0067,2,standard
Random Forest Classifier,0.5185,0.5613,0.5062,0.5323,0.512,0.037,0.0371,0.0467,2,standard
K Neighbors Classifier,0.5679,0.5393,0.4938,0.5785,0.5309,0.1358,0.1377,0.0067,2,standard
CatBoost Classifier,0.4815,0.4947,0.4691,0.4799,0.4726,-0.037,-0.0376,1.02,2,standard
Extreme Gradient Boosting,0.4383,0.4618,0.4074,0.4283,0.4158,-0.1235,-0.1253,0.0233,2,standard
