Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
SVM - Linear Kernel,0.5185,0.6113,0.5926,0.5753,0.5442,0.037,0.0316,0.0067,3,minmax
Logistic Regression,0.5802,0.6077,0.5556,0.6012,0.5714,0.1605,0.166,0.01,3,minmax
Naive Bayes,0.5556,0.5997,0.4691,0.5738,0.5134,0.1111,0.115,0.0067,3,minmax
Extra Trees Classifier,0.5988,0.5869,0.6173,0.5953,0.606,0.1975,0.1978,0.0333,3,minmax
Random Forest Classifier,0.5185,0.5588,0.5185,0.5295,0.5182,0.037,0.0363,0.05,3,minmax
Quadratic Discriminant Analysis,0.5185,0.5222,0.5679,0.5067,0.5216,0.037,0.0406,0.0067,3,minmax
CatBoost Classifier,0.4753,0.4897,0.4691,0.4745,0.4695,-0.0494,-0.0502,1.0633,3,minmax
Extreme Gradient Boosting,0.4568,0.4792,0.4444,0.4456,0.4435,-0.0864,-0.0882,0.0233,3,minmax
K Neighbors Classifier,0.4877,0.4527,0.358,0.4735,0.4059,-0.0247,-0.0289,0.01,3,minmax
