Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Naive Bayes,0.5556,0.5942,0.4321,0.585,0.4928,0.1111,0.1184,0.0067,2,none
Extra Trees Classifier,0.5802,0.577,0.5802,0.5803,0.5801,0.1605,0.1606,0.04,2,none
Logistic Regression,0.5926,0.562,0.6049,0.6071,0.5891,0.1852,0.1958,0.0167,2,none
Random Forest Classifier,0.5185,0.5604,0.5062,0.5323,0.512,0.037,0.0371,0.05,2,none
Quadratic Discriminant Analysis,0.4938,0.5176,0.679,0.485,0.5448,-0.0123,-0.0078,0.0067,2,none
SVM - Linear Kernel,0.5062,0.508,0.3951,0.506,0.4404,0.0123,0.0122,0.0067,2,none
CatBoost Classifier,0.4753,0.4824,0.4568,0.4755,0.4652,-0.0494,-0.0496,0.9967,2,none
K Neighbors Classifier,0.4877,0.4689,0.3951,0.4827,0.4285,-0.0247,-0.0261,0.0067,2,none
Extreme Gradient Boosting,0.4383,0.4618,0.4074,0.4283,0.4158,-0.1235,-0.1253,0.0233,2,none
