Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.5,0.5183,0.4568,0.5009,0.4755,-0.0,0.0,0.0433,2,standard
Extreme Gradient Boosting,0.4815,0.5057,0.4938,0.4879,0.4879,-0.037,-0.0372,0.02,2,standard
Logistic Regression,0.5185,0.5007,0.5062,0.5185,0.5122,0.037,0.037,0.0067,2,standard
Extra Trees Classifier,0.5,0.495,0.4691,0.507,0.4811,0.0,0.0014,0.0433,2,standard
SVM - Linear Kernel,0.4938,0.4783,0.5556,0.4917,0.5207,-0.0123,-0.0115,0.0067,2,standard
CatBoost Classifier,0.4938,0.4769,0.4321,0.5095,0.458,-0.0123,-0.0081,1.01,2,standard
Quadratic Discriminant Analysis,0.4938,0.471,0.6667,0.4896,0.5599,-0.0123,-0.0082,0.0067,2,standard
K Neighbors Classifier,0.463,0.4303,0.4568,0.4688,0.4553,-0.0741,-0.0753,0.01,2,standard
Naive Bayes,0.4877,0.3809,0.2593,0.4709,0.3329,-0.0247,-0.0302,0.0067,2,standard
