Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.5309,0.5338,0.5309,0.5399,0.5285,0.0617,0.0627,0.05,4,minmax
SVM - Linear Kernel,0.4691,0.5112,0.716,0.4886,0.5546,-0.0617,-0.1393,0.0067,4,minmax
Extra Trees Classifier,0.5679,0.5103,0.5432,0.5731,0.5526,0.1358,0.1377,0.04,4,minmax
Logistic Regression,0.5123,0.5002,0.4691,0.5128,0.4876,0.0247,0.0247,0.01,4,minmax
Extreme Gradient Boosting,0.4815,0.4911,0.5062,0.487,0.4914,-0.037,-0.0377,0.0233,4,minmax
Quadratic Discriminant Analysis,0.5062,0.4769,0.4321,0.5139,0.4593,0.0123,0.0165,0.0067,4,minmax
K Neighbors Classifier,0.4691,0.4611,0.4321,0.4665,0.4444,-0.0617,-0.0629,0.01,4,minmax
CatBoost Classifier,0.463,0.4604,0.3951,0.4688,0.4206,-0.0741,-0.0727,1.0467,4,minmax
Naive Bayes,0.4877,0.3795,0.2593,0.4709,0.3329,-0.0247,-0.0302,0.0067,4,minmax
