Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.5185,0.5183,0.5185,0.5284,0.5161,0.037,0.0379,0.0467,1,standard
Extreme Gradient Boosting,0.4815,0.5057,0.4938,0.4879,0.4879,-0.037,-0.0372,0.0867,1,standard
Logistic Regression,0.5123,0.5007,0.4938,0.5113,0.5023,0.0247,0.0246,0.01,1,standard
Extra Trees Classifier,0.5062,0.4995,0.4938,0.5087,0.4983,0.0123,0.0125,0.0367,1,standard
SVM - Linear Kernel,0.4691,0.4787,0.5062,0.4733,0.4875,-0.0617,-0.0635,0.0067,1,standard
K Neighbors Classifier,0.5123,0.4765,0.4815,0.5213,0.4965,0.0247,0.0263,0.01,1,standard
Quadratic Discriminant Analysis,0.4815,0.4668,0.6543,0.4848,0.5547,-0.037,-0.0393,0.0067,1,standard
CatBoost Classifier,0.4938,0.454,0.4074,0.5048,0.4415,-0.0123,-0.0089,1.0467,1,standard
Naive Bayes,0.4877,0.38,0.2593,0.4709,0.3329,-0.0247,-0.0302,0.0067,1,standard
