Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.537,0.5283,0.5309,0.5459,0.5335,0.0741,0.0756,0.0533,4,none
Quadratic Discriminant Analysis,0.4691,0.5039,0.6914,0.4545,0.5226,-0.0617,-0.0526,0.0067,4,none
Extra Trees Classifier,0.5617,0.4993,0.5432,0.5658,0.5487,0.1235,0.1256,0.04,4,none
SVM - Linear Kernel,0.5123,0.4947,0.5556,0.5128,0.5328,0.0247,0.0247,0.0067,4,none
Extreme Gradient Boosting,0.4815,0.4911,0.5062,0.487,0.4914,-0.037,-0.0377,0.0233,4,none
K Neighbors Classifier,0.463,0.4801,0.3704,0.4577,0.4077,-0.0741,-0.075,0.0067,4,none
Logistic Regression,0.4877,0.4705,0.5432,0.4904,0.5147,-0.0247,-0.0253,0.02,4,none
CatBoost Classifier,0.4815,0.4609,0.4198,0.4868,0.4418,-0.037,-0.0356,1.0467,4,none
Naive Bayes,0.4938,0.3813,0.2469,0.486,0.324,-0.0123,-0.0149,0.0067,4,none
