Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Random Forest Classifier,0.5123,0.5233,0.5062,0.5231,0.5079,0.0247,0.0255,0.0533,1,minmax
Extreme Gradient Boosting,0.4815,0.5057,0.4938,0.4879,0.4879,-0.037,-0.0372,0.0833,1,minmax
Quadratic Discriminant Analysis,0.5309,0.5034,0.4568,0.5421,0.4863,0.0617,0.0661,0.0067,1,minmax
Extra Trees Classifier,0.5,0.5005,0.4815,0.5008,0.4874,-0.0,-0.0001,0.04,1,minmax
SVM - Linear Kernel,0.4815,0.4819,0.4938,0.5723,0.4446,-0.037,-0.0161,0.0067,1,minmax
Logistic Regression,0.5,0.4701,0.4691,0.4974,0.4787,0.0,-0.0006,0.0067,1,minmax
CatBoost Classifier,0.4938,0.4668,0.4198,0.5053,0.4479,-0.0123,-0.0089,1.0633,1,minmax
K Neighbors Classifier,0.4815,0.4412,0.3086,0.4753,0.3704,-0.037,-0.0386,0.0067,1,minmax
Naive Bayes,0.4877,0.3791,0.2593,0.4709,0.3329,-0.0247,-0.0302,0.0067,1,minmax
