Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),config,scaler
Quadratic Discriminant Analysis,0.4877,0.524,0.6543,0.5081,0.5102,-0.0247,-0.064,0.0067,2,none
Random Forest Classifier,0.5123,0.5165,0.4691,0.5167,0.4892,0.0247,0.0256,0.05,2,none
Extreme Gradient Boosting,0.4815,0.5057,0.4938,0.4879,0.4879,-0.037,-0.0372,0.0233,2,none
Extra Trees Classifier,0.5,0.4954,0.4691,0.507,0.4811,0.0,0.0014,0.04,2,none
Logistic Regression,0.5,0.4801,0.5556,0.5008,0.526,0.0,-0.0001,0.02,2,none
SVM - Linear Kernel,0.4815,0.4733,0.1975,0.4545,0.255,-0.037,-0.046,0.0067,2,none
CatBoost Classifier,0.4753,0.4682,0.4074,0.4753,0.4327,-0.0494,-0.0494,0.9833,2,none
K Neighbors Classifier,0.4938,0.4582,0.4444,0.4943,0.4654,-0.0123,-0.0124,0.01,2,none
Naive Bayes,0.4938,0.3809,0.2469,0.486,0.324,-0.0123,-0.0149,0.0067,2,none
